id_lieu,annee_tournage,type_tournage,nom_tournage,nom_realisateur,nom_producteur,adresse_lieu,ardt_lieu,date_debut,date_fin,coord_x,coord_y,geo_shape.type,geo_shape.geometry.coordinates,geo_shape.geometry.type,geo_point_2d.lon,geo_point_2d.lat
2020-121,2020,Long métrage,ADIEU MONSIEUR HAFFMANN,FRED CAVAYÉ,VENDOME FILMS,"57 rue berthe, 75018 paris",75018,2020-03-20,2020-03-20,2.33872114,48.88585596,Feature,"[2.338721141807265, 48.88585595781012]",Point,2.338721141807265,48.88585595781012
2021-943,2021,Série TV,JEUX D'INFLUENCE -SAISON 2,Jean-Xavier de LESTRADE,WHAT'S UP FILM,"38 rue marbeuf, 75008 paris",75008,2021-07-05,2021-07-06,2.30570726,48.86965763,Feature,"[2.3057072598297648, 48.8696576338404]",Point,2.3057072598297648,48.8696576338404
2021-464,2021,Téléfilm,HER PEN PAL,Claire Niederpruem,ILOMBA IMAGES,"76 rue de seine, 75006 paris",75006,2021-04-25,2021-04-25,2.33695119,48.85194136,Feature,"[2.3369511865525268, 48.85194135734028]",Point,2.3369511865525268,48.85194135734028
2022-825,2022,Série TV,TOUT VA BIEN,ERIC ROCHANT XAVIER LEGRAND AUDREY ESTROUGO,MAUI ENTERTAINEMNT,"rue de maubeuge, 75009 paris",75009,2022-08-20,2022-08-20,652228.3052,6864573.9845,Feature,"[2.3486339944529426, 48.87941246819819]",Point,2.348633994452942,48.87941246819819
2023-116,2023,Série TV,Irrésistible,Antony CORDIER et Laure DE BUTLER,Jour Premier Production,"132 boulevard de belleville, 75020 paris",75020,2023-01-30,2023-01-30,654332.67,6863736.162,Feature,"[2.377415814294517, 48.8720307905429]",Point,2.377415814294517,48.8720307905429
2023-260,2023,Long métrage,Elle et Lui et le Reste du Monde,Emmanuelle Belohdrasky,Marvelous Productions,"1 rue robineau, 75020 paris",75020,2023-03-13,2023-03-13,655414.775,6862901.898,Feature,"[2.392255133238613, 48.864604200342484]",Point,2.392255133238613,48.86460420034248
2023-407,2023,Série TV,Metamorph - Montmartre - Rue Tholozé,Daina REID (Bloc 1) et Damon THOMAS (bloc 2),FROGGIE FILMS SAS,"30 rue véron, 75018 paris",75018,2023-04-19,2023-04-19,651301.45,6865182.982,Feature,"[2.3359271023355546, 48.884819566124754]",Point,2.3359271023355546,48.884819566124754
2023-489,2023,Série TV,SSX,Paolo SINIGAGLIA,BANIJAY STUDIO FRANCE,"5 rue du cardinal dubois, 75018 paris",75018,2023-05-09,2023-05-09,651849.371,6865291.568,Feature,"[2.3433861130820075, 48.88583724965154]",Point,2.3433861130820075,48.88583724965154
2023-588,2023,Série TV,KAISER KARL,JÉRÔME SALLE,GAUMONT PRODUCTION TÉLÉVISION,"190 boulevard pereire, 75017 paris",75017,2023-05-26,2023-05-26,647927.847,6864821.559,Feature,"[2.2899700185451146, 48.881305440139904]",Point,2.2899700185451146,48.881305440139904
2023-917,2023,Long métrage,DALLOWAY,Yann Gozlan,MANDARIN PRODUCTION,"parc clichy-batignolles-martin luther king, 75017 paris",75017,2023-08-13,2023-08-15,649828.0,6865648.0,Feature,"[2.315780594292406, 48.88888817627635]",Point,2.315780594292406,48.88888817627635
2023-947,2023,Série TV,Gute Zeiten Schlechte Zeiten (4-75001),Janka VENUS,Not For Production,"allée célestin hennion, 75004 paris",75004,2023-09-04,2023-09-04,652108.201,6861868.12,Feature,"[2.347301410638699, 48.85507020768734]",Point,2.347301410638699,48.85507020768734
2023-1143,2023,Long métrage,GTMAX,Olivier Schneider,INOXY FILMS,"81 boulevard voltaire, 75011 paris",75011,2023-09-27,2023-09-28,654233.331,6862435.802,Feature,"[2.376201624745879, 48.86032979593028]",Point,2.376201624745879,48.86032979593028
2023-1383,2023,Long métrage,Little jaffna,Lawrence Valin,Ex Nihilo,"295 avenue daumesnil, 75012 paris",75012,2023-11-10,2023-11-10,656671.808,6859554.949,Feature,"[2.4097302421632993, 48.83459082239994]",Point,2.4097302421633,48.83459082239994
2023-1451,2023,Long métrage,Les Règles de l'Art,Dominique Baumard,SRAB Films,"15 rue corvisart, 75013 paris",75013,2023-12-06,2023-12-07,652056.262,6859428.993,Feature,"[2.3468685380037573, 48.8331312700946]",Point,2.3468685380037573,48.8331312700946
2024-594,2024,Série TV,Sauce,Martin Bourboulon,Shine Fiction,"2 galerie de montpensier, 75001 paris",75001,2024-01-11,2024-01-12,651335.303,6862889.376,Feature,"[2.336651455575995, 48.86419630932597]",Point,2.336651455575995,48.86419630932597
2024-599,2024,Série TV,BURN(ES) OUT,Noémie SAGLIO - Olivier ROSEMBERG,GRAND AMOUR,"10 rue montgolfier, 75003 paris",75003,2024-01-17,2024-01-19,652842.634,6863086.508,Feature,"[2.3571750890615664, 48.86608119970759]",Point,2.3571750890615664,48.86608119970759
2020-1121,2020,Long métrage,STELLA EST AMOUREUSE,Sylvie Verheyde,ATELIER DE PRODUCTION,"place joachim du bellay, 75001 paris",75001,2020-12-22,2020-12-22,2.34772227,48.86094047,Feature,"[2.3477222716177035, 48.86094046750017]",Point,2.3477222716177035,48.86094046750017
2019-1572,2019,Long métrage,TROP D'AMOUR,Frankie WALLACH,EX NIHILO,"111 boulevard richard lenoir, 75011 paris",75011,2019-11-19,2019-11-19,2.36990919,48.86481103,Feature,"[2.3699091863771695, 48.86481102824928]",Point,2.369909186377169,48.86481102824928
