type_de_document,prets,titre,auteur,nombre_de_localisations,nombre_de_pret_total,nombre_d_exemplaires
Bande dessinée jeunesse,669,My hero academia. 3,"Horikoshi,  Kohei",48,3278,60
Bande dessinée jeunesse,562,Red riot,"Horikoshi,  K?hei",48,1784,56
Bande dessinée jeunesse,550,Les âmes tigrées,"Vehlmann,  Fabien",51,810,58
Bande dessinée jeunesse,872,"Fukuneko, les chats du bonheur. 1","Matsuzawa,  Mari",40,839,53
Bande dessinée jeunesse,865,Kid N'Roses,Midam,51,1811,61
Bande dessinée jeunesse,633,Les deux terreurs,"Cohen,  Jacqueline",28,3999,44
Bande dessinée jeunesse,1016,Max et Lili vont chez papy et mamie,"Saint-Mars,  Dominique de",50,5554,103
Bande dessinée jeunesse,794,Où es-tu ?,"Lyfoung,  Patricia",50,4940,67
Bande dessinée jeunesse,792,Le cadeau de César,"Goscinny,  René",47,4333,69
Bande dessinée ado,892,"Ex, drague et rock'n'roll !","Dubuc,  Maryse",43,2207,60
Livre adulte,767,La familia grande,"Kouchner,  Camille",52,1745,63
Bande dessinée jeunesse,630,Naruto. 68,"Kishimoto,  Masashi",44,3073,57
Bande dessinée jeunesse,598,Au coeur du maelström,"Vehlmann,  Fabien",50,5005,62
Bande dessinée jeunesse,572,Naruto. 36,"Kishimoto,  Masashi",44,3696,57
Bande dessinée jeunesse,1559,Mortelle Adèle. 5. Poussez-vous les moches,Tan,53,4436,102
Bande dessinée jeunesse,595,Dispensable andouille,Bertschy,45,1791,50
Bande dessinée jeunesse,1582,Big bisous baveux,Mr Tan,53,4979,115
Bande dessinée jeunesse,595,Désobéir !,"Dugomier,  Vincent",46,1408,55
Bande dessinée jeunesse,1076,Lili est harcelée à l'école,"Saint-Mars,  Dominique de",46,5940,97
Bande dessinée jeunesse,1013,C'est parti !,"Didier,  Anne",41,3589,74
Bande dessinée jeunesse,912,Barbecue royal,Midam,43,3372,56
Bande dessinée jeunesse,640,Naruto. 18,"Kishimoto,  Masashi",44,4336,60
Bande dessinée jeunesse,937,Jadina,"Sobral,  Patrick",46,3367,65
Bande dessinée jeunesse,588,Naruto. 63,"Kishimoto,  Masashi",45,3213,55
Bande dessinée jeunesse,573,Système D,Zidrou,34,2021,40
Bande dessinée jeunesse,1337,Un talent monstre !,Tan,54,4202,103
Bande dessinée jeunesse,1116,Max et Lili ont peur du noir,"Saint-Mars,  Dominique de",50,2666,100
Bande dessinée jeunesse,913,Faut pas gaspiller !,Nob,47,2740,61
Jeux de société prêtable,676,Dobble :,"Blanchot,  Denis",29,1792,39
Bande dessinée jeunesse,619,Katouki Bakugo : l'envol,"Horikoshi,  K?hei",48,1046,52
Bande dessinée jeunesse,1156,Le canard calé,"Guibert,  Emmanuel",47,3993,73
Bande dessinée jeunesse,1022,"Juré, craché, menti !","Cazenove,  Christophe",45,2129,65
Bande dessinée jeunesse,801,Grand-père est mort,"Saint-Mars,  Dominique de",46,4358,83
Bande dessinée jeunesse,578,Tombés du ciel,"Dugomier,  Vincent",44,1059,53
Bande dessinée jeunesse,720,Naruto. 6,"Kishimito,  Masashi",47,4445,72
Bande dessinée jeunesse,600,Fairy Tail. 2,"Mashima,  Hiro",43,3316,50
Bande dessinée jeunesse,1078,Max et Lili ont peur de parler en public,"Saint-Mars,  Dominique de",49,3678,90
Livre adulte,665,Une sortie honorable : récit,"Vuillard,  Éric",48,743,50
Bande dessinée jeunesse,624,My hero academia. 9. My hero,"Horikoshi,  Kohei",49,2690,55
Livre jeunesse,603,Pas de bol !,"Kinney,  Jeff",48,2138,59
Bande dessinée jeunesse,581,Lycée Boulard,Erroc,34,1832,43
Livre jeunesse,622,Carrément claustro,"Kinney,  Jeff",51,3085,65
Bande dessinée jeunesse,884,Lili a un chagrin d'amour,"Saint-Mars,  Dominique de",40,4031,80
Bande dessinée jeunesse,556,Mise en examen,Pica,31,2499,42
Bande dessinée jeunesse,549,Les profs. 5. Chute des cours,Pica,26,2388,34
Bande dessinée jeunesse,1043,Bisbille fait mouche,"Guibert,  Emmanuel",46,3601,69
