rang,type_de_document,reservations,titre,auteur
541,CD adulte,81.0,Multitude,Stromae
516,Livre adulte,83.0,Celle qui brûle,"Hawkins,  Paula"
791,Bande dessinée ado,65.0,Naruto. 40,"Kishimoto,  Masashi"
114,Livre adulte,184.0,La boîte à magie,"Läckberg,  Camilla"
997,DVD nouveautés tous publics,56.0,Le Secret de la cité perdue,
523,Bande dessinée jeunesse,83.0,Bataille décisive à Alubarna,"Oda,  Eiichiro"
236,Livre adulte,126.0,L'innocence et la loi,"Connelly,  Michael"
420,DVD nouveautés tous publics,92.0,SOS fantômes : l'héritage,
514,Nouveauté,83.0,The promised Neverland. 12,"Shirai,  Kaiu"
288,DVD tous publics,111.0,La  panthère des neiges,
306,,106.0,Rupture(s),"Marin,  Claire"
479,Bande dessinée adulte,86.0,Les sentiments du prince Charles,"Strömquist,  Liv"
405,DVD nouveautés tous publics,94.0,Free Guy,
141,DVD nouveautés tous publics,167.0,Madres paralelas,
732,Bande dessinée ado,68.0,Naruto. 30,"Kishimoto,  Masashi"
80,DVD tous publics,236.0,Annette,
122,Livre adulte,178.0,Changer : méthode,"Louis,  Édouard"
281,Bande dessinée jeunesse,113.0,"Toi, je te zut !",Mr Tan
423,Livre adulte,92.0,Passion simple,"Ernaux,  Annie"
439,Bande dessinée jeunesse,90.0,Ultra top secret !,"Didier,  Anne"
460,Livre adulte,88.0,"Dix âmes, pas plus",Ragnar Jónasson
804,CD adulte,64.0,Covers,Cat Power
850,Bande dessinée jeunesse,62.0,Un namour de sister,"Maury,  William"
116,Livre jeunesse,183.0,Mortelle Adèle. 4. J'aime pas l'amour,Tan
321,Bande dessinée adulte,104.0,Nellie Bly : dans l'antre de la folie,"Ollagnier,  Virginie"
739,Bande dessinée jeunesse,67.0,My hero academia. 12,"Horikoshi,  K?hei"
946,coffret DVD > 12 ans,58.0,Le  bureau des légendes. Saison 5,
143,Bande dessinée ado,164.0,Naruto. 4,"Kishimoto,  Masashi"
169,Bande dessinée ado,153.0,Naruto. 5,"Kishimoto,  Masashi"
270,Livre jeunesse,115.0,La princesse disparue,"Sutherland,  T. T."
344,DVD nouveautés tous publics,102.0,La  pièce rapportée,
349,DVD tous publics,101.0,Tralala,
727,Livre adulte,68.0,Les derniers jours des fauves,"Leroy,  Jérôme"
744,Bande dessinée jeunesse,67.0,L'atelier des sorciers. 7,"Shirahama,  Kamome"
12,Livre adulte,522.0,Réinventer l'amour : comment le patriarcat sabote les relations hétérosexuelles,"Chollet,  Mona"
53,,290.0,La vie clandestine,"Sabolo,  Monica"
396,,95.0,La tempête de sable,"Sutherland,  Tui"
628,Bande dessinée jeunesse,74.0,The promised Neverland. 16,"Shirai,  Kaiu"
808,DVD tous publics,64.0,L'amie prodigieuse. Saison 3,
219,Livre adulte,131.0,Betty : roman,"McDaniel,  Tiffany"
461,DVD tous publics,88.0,Serre moi fort,
490,,85.0,Le prince de Cobalt,
570,Bande dessinée jeunesse,79.0,One Piece : édition originale. 101,"Oda,  Eiichir?"
947,Bande dessinée jeunesse,58.0,Solo leveling. 1,Chugong
725,Livre adulte,68.0,Paradis : roman,"Gurnah,  Abdulrazak"
777,Livre jeunesse,65.0,L'espoir fait vivre,"Dequier,  Bruno"
902,DVD tous publics,60.0,Un triomphe,
