903,identifiant,lien_permament_portail,isbn,ean,langue_du_document,langue_du_texte_intermediaire,langue_de_l_oeuvre_originale,date_de_publication,langue_des_sous_titres,titre,type_de_document,titre_d_un_auteur_different,titre_parallele,complement_du_titre,premiere_mention_de_responsabilite,mention_de_responsabilite_suivante,numero_de_partie,titre_de_partie,lieu_de_publication,nom_de_l_editeur,indication_specifique_du_type_de_document,autres_caracteristiques_materielles,format,materiel_d_accompagnement,collection,est_publie_avec,est_une_traduction_de,niveau_de_l_ensemble,unite_materielle,partie_composante,dates_auteur,dates_co_auteur,dates_auteur_secondaire,auteur_collectivite_element_d_entree,auteur_collectivite_subdivision,auteur_collectivite_date,co_auteur_collectivite_element_d_entree,co_auteur_collectivite_subdivision,co_auteur_collectivite_date,auteur_secondaire_collectivite_element_d_entree,auteur_secondaire_collectivite_subdivision,auteur_secondaire_collectivite_date,localisation,sous_localisation,nombre_d_objets,code_barre,cote,tomaison,categorie_documentaire,collection0,fonds,note,conservation,etat_physique,etat_de_collection,auteur_complet,co_auteur,auteur_secondaire
1809305,RBSVDP0001809305,http://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001809305,,,['fre'],,,[date de publication inconnue],,Eglise Saint Séverin. Repentir de Saint Pierre,['[Image fixe]'],,,[photographie],,,,,,,1 photographie positive,noir et blanc,,,,,,,,,,,,,,,,,,,,,BHVP,MAB1,1.0,32272900819550,1-EPD-21-0130,,PH,,,,,,,,,
1814340,RBSVDP0001814340,http://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001814340,,,['fre'],,,[date de publication inconnue],,"Eglise Notre-Dame, chimère : stryge vue de profil",['[Image fixe]'],,,[photographie],Gösta Wilander,,,,,,1 diapositive,couleur,24 x 36 mm,,,,,,,,19..-....,,,,,,,,,,,,BHVP,MAB1,1.0,32272900834285,DP-001-0098,,PH,,WILA,2e tirage,,,,"['Wilander, Gösta']",,
1963977,RBSVDP0001963977,http://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001963977,978-2-86574-076-5,,"['fre', 'spa', 'eng']",,,cop. 2014,,Eduardo Arroyo,['[Texte imprimé]'],,,"la parole est à la peinture ; [exposition], Galerie Louis Carré & Cie,...Paris, [du 12 septembre au 11 octobre 2014]",préface de Christian Derouet,,,,Paris,['Louis Carré & Cie'],1 vol. (95 p.),"ill. en coul., couv. ill.",30 cm,,,,,,,,,,1945-...,,,,,,,Galerie Louis Carré & Cie,,,FOR,MAGI,1.0,32272072991331,CE 40120,,CE,COIM,,,,,,,,"['Derouet, Christian']"
2151976,RBSVDP0002151976,http://bibliotheques-specialisees.paris.fr/ark:/73873/pf0002151976,,574723-773441,['fre'],,,2016?,,Edouard Letailleur,['[Texte imprimé]'],,,inventaire d'une oeuvre,Roland Lacourbe,,,,[S.l.],['Semper Aenigma'],1 vol. (52 p.),"ill., couv. ill. en coul.",21 cm,,,,,,,,,,,,,,,,,,,,BILI,LEC,1.0,32272135116207,4.6 B LET,,LI,DOCU,,,COEX,,,"['Lacourbe, Roland']",,
2078962,RBSVDP0002078962,http://bibliotheques-specialisees.paris.fr/ark:/73873/pf0002078962,,,['fre'],,,1717,,Edit du Roy portant suppression des maîtres-voituriers par eau de Rouen à Paris et de Paris à Rouen. Donné à Paris au mois d'avril 1717. Registré en Parlement [le 12 mai 1717],,,,,,,,,Paris,['Impr. royale'],8 p.,,in-8,,,,,,,,1710-1774,,1675-1740,,,,,,,,,,BHVP,MAB2,1.0,,"35380, vol.101 -(53)",-(53),LI,,,"Fait partie d'un recueil factice d'actes de la même année comportant en tête une table manuscrite. Pièce n?53 ; Au contreplat supérieur, ex-libris gravé de Charles Ycart (1675-1740), secrétaire du Roi, avocat en Parlement et aux Conseils (Chr. Favre-Leje",,,,['Louis'],,"['Ycart, Charles']"
2087859,RBSVDP0002087859,http://bibliotheques-specialisees.paris.fr/ark:/73873/pf0002087859,,,['fre'],,,1749,,"Edit du Roy portant suppression du dixième établi par la déclaration du 29 août 1741, l'établissement d'une caisse générale des amortissemens pour le remboursement des dettes de l'Etat, et la levée du vingtième pour le produit en être versé dans ladite ca",,,,,,,,,Paris,['impr. de P. Prault'],12 p.,,in-8,,,,,,,,1710-1774,,,,,,,,,,,,BHVP,MAB2,1.0,,4-BRO-138450 -(38-27),-(38-27),LI,,,Don de l'Académie des Inscriptions et Belles-lettres en mars 1958 (n? d'entrée 55177),,,,['Louis'],,
2083316,RBSVDP0002083316,http://bibliotheques-specialisees.paris.fr/ark:/73873/pf0002083316,,,['fre'],,,1727,,Edit du Roy portant rétablissement de plusieurs charges dans la Maison de la Reine. Donné à Versailles au mois de janvier 1727. Registré en la Cour des Aydes le 27 may 1727,,,,,,,,,Paris,['impr. de L.-D. Delatour'],4 p.,,in-8,,,,,,,,1710-1774,,,,,,,,,,,,BHVP,MAB2,1.0,,4-BRO-138450 -(27-32),-(27-32),LI,,,Don de l'Académie des Inscriptions et Belles-lettres en mars 1958 (n? d'entrée 55177),,,,['Louis'],,
2075962,RBSVDP0002075962,http://bibliotheques-specialisees.paris.fr/ark:/73873/pf0002075962,,,['fre'],,,1707,,"Edit du Roy, portant création de trois trésoriers des appointemens des ambassadeurs, et de trois offices de principaux commis y joints. Donné à Versailles au mois de décembre 1706",,,,,,,,,Paris,['impr. de la Vve F. Muguet et H. Muguet'],4 p.,,in-8,,,,,,,,1638-1715,,1675-1740,,,,,,,,,,BHVP,MAB2,1.0,42272000001447,"35380, vol.062 -(51)",-(51),LI,,,"Fait partie d'un recueil factice d'actes de la même année comportant en tête une table manuscrite. Pièce n?51 ; Au contreplat supérieur, ex-libris gravé de Charles Ycart (1675-1740), secrétaire du Roi, avocat en Parlement et aux Conseils (Chr. Favre-Leje",,,,['Louis'],,"['Ycart, Charles']"
2076823,RBSVDP0002076823,http://bibliotheques-specialisees.paris.fr/ark:/73873/pf0002076823,,,['fre'],,,[date de publication inconnue],,"Edit du Roy, pour l'établissement d'une Monoye en la ville de Perpignan. Donné à Versailles au mois de juin 1710. Registré en la Cour des Monoyes le 21 novembre 1710",,,,,,,,,Paris,['impr. de F. Léonard'],8 p.,,in-8,,,,,,,,1638-1715,,1675-1740,,,,,,,,,,BHVP,MAB2,1.0,,"35380, vol.072 -(63)",-(63),LI,,,"Fait partie d'un recueil factice d'actes de la même année comportant en tête une table manuscrite. Pièce n?63 ; Au contreplat supérieur, ex-libris gravé de Charles Ycart (1675-1740), secrétaire du Roi, avocat en Parlement et aux Conseils (Chr. Favre-Leje",,,,['Louis'],,"['Ycart, Charles']"
2075556,RBSVDP0002075556,http://bibliotheques-specialisees.paris.fr/ark:/73873/pf0002075556,,,['fre'],,,1705,,"Edit du Roy. Donné à Versailles au mois de juin 1705, portant création en titre d'office... dans la Ville... de Paris, de cent offices d'inspecteurs, Visiteurs etc... de pierres de taille...",,,,,,,,,Grenoble,['Giroud'],11 p.,,in-4,,,,,,,,1638-1715,,,,,,,,,,,,BHVP,MAB2,1.0,,8-BRO-940646,,LI,,,,,,,['Louis'],,
