y_4326,x_4326,index_plaque,ardt,adresse,emplacement,retranscription,materiau,taille,titre,siecle,periode_1,periode_2,objet_1,objet_2,genre,personnalite,pays,date_arret,geo_shape.type,geo_shape.geometry.coordinates,geo_shape.geometry.type,geo_point_2d.lon,geo_point_2d.lat
48.84161,2.331487,6003,6,127 BOULEVARD DU MONTPARNASSE,PREMIER ETAGE,DANS CETTE MAISON / HABITA LE PEINTRE J-B. JONGKIND / PRÉCURSEUR / DE L’IMPRESSIONNISME / NÉ EN HOLLANDE / MORT à LA CÔTE ST-ANDRÉ / 1819-1891,marbre,30x45,Johan Barthold Jongkind,19,,,les artistes (beaux-arts),,YY,Johan Barthold Jongkind,"France, Pays-Bas",,Feature,"[2.3314869994058496, 48.84160999886912]",Point,2.3314869994058496,48.84160999886912
48.854362,2.306293,7032,7,1 PLACE DE L ECOLE MILITAIRE,RDC,"LE 12 DECEMBRE 1941,/LA POLICE MILITAIRE ALLEMANDE, ASSISTEE DE LA POLICE FRANCAISE,/A ARRETE 743 PERSONNALITES JUIVES FRANCAISES, EN MAJORITE ANCIENS COMBATTANTS/ET PROFESSIONS LIBERALES, ET LES A REGROUPEES DANS LE MANEGE/”COMMANDANT BOSSUS” DE L'ECOLE MILITAIRE./LES 743 ONT ETE INTERNES DANS LE CAMP ALLEMAND DE ROYALIEU A COMPIEGNE/ OU CERTAINS SONT MORTS DE FAIM ET DE FROID./LE 27 MARS 1942, LA PLUPART DES 743 ONT ETE DEPORTES PAR LE PREMIER CONVOI/ PARTI DE FRANCE A DESTINATION D'AUSCHWITZ, OU ILS ONT ETE ASSASSINES. N'OUBLIONS PAS CES VICTIMES DE LA HAINE RACIALE./ Les fils et filles des Déportés Juifs de France. Josette et Jean-Jacques FRAENKEL à la mémoire de leur Père",marbre,,Rafle du 12 décembre 1941 - école militaire,20,Seconde Guerre mondiale,,évènements et faits historiques,les victimes civiles de guerre,,,France,,Feature,"[2.3062930005893922, 48.85436199919874]",Point,2.3062930005893922,48.85436199919874
48.8631,2.3181,7047,7,QUAI DE LA SEINE,RDC,F.F.I. MAQUIS DE LORRIS/(LOIRET)/MORT POUR LA FRANCE/25 AOUT 1944/BILLAND CLAUDE,marbre,,Claude Billand,20,Seconde Guerre mondiale,Libération de Paris,les Résistants,les Morts pour la France,YY,Claude Billand,France,,Feature,"[2.318100000355612, 48.863099999078734]",Point,2.318100000355612,48.863099999078734
48.857937,2.329609,7057,7,36 RUE DE VERNEUIL,RDC,ICI/EST MORT /POUR LA FRANCE/LE LIEUTENANT/PIERRE MAROGER/A L’AGE DE 20 ANS/LE 21 AOUT 1944,marbre,,Pierre Maroger,20,Seconde Guerre mondiale,Libération de Paris,les Résistants,les Morts pour la France,YY,Pierre Maroger,France,,Feature,"[2.329608999832815, 48.85793699899464]",Point,2.329608999832815,48.85793699899464
48.858711,2.327563,7061,7,52 RUE DE VERNEUIL,RDC,DANS CET IMMEUBLE/ET DANS L’APPARTEMENT/DE CHRISTIAN PINEAU/EN OCTOBRE 1940/A ETE CREE LE MOUVEMENT/LIBERATION NORD/LE PLUS IMPORTANT DE LA RESISTANCE/EN ZONE OCCUPEE,marbre,,Création du mouvement Libération Nord,20,Seconde Guerre mondiale,,évènements et faits historiques,les Résistants,YY,Christian Pineau,France,,Feature,"[2.3275629996300173, 48.85871099907349]",Point,2.3275629996300173,48.85871099907349
48.858817,2.330011,7079,7,5 RUE DE BEAUNE,Premier,ICI EST MORT/LE 22 MARS 1924/LOUIS DELLUC/ECRIVAIN ET AUTEUR DE FILMS/HOMAGE DE/L’ASSOCIATION FRANCAISE/DE LA CRITIQUE DE CINEMA/LE 22 MARS 1949,marbre,,Louis Delluc,19-20,,,les écrivains et intellectuels,les artistes (théâtre et cinéma),YY,Louis Delluc,France,,Feature,"[2.3300110001303467, 48.85881699892616]",Point,2.3300110001303467,48.85881699892616
48.858816,2.330937,7085,7,21 QUAI VOLTAIRE,RDC,LE PEINTRE MARCEL BASCHET/PRIX DE ROME/MEMBE DE L’INSTITUT/eut son atelier/dans cette maison/de 1907 à 1941,marbre,,Marcel Baschet,19-20,,,les artistes (beaux-arts),,YY,Marcel Baschet,France,,Feature,"[2.330936999983425, 48.85881599946963]",Point,2.330936999983425,48.85881599946963
48.857591,2.322329,7109,7,"31, RUE DE BELLECHASSE",RDC,VILLEMIN JEAN ANTOINE/1827 – 1892/MEDECIN INSPECTEUR DE L’ARMEE/PROFESSEUR AU VAL DE GRACE/BIENFAITEUR DE L’HUMANITE/PAR L’IMMORTELLE DECOUVERTE EN 1865/DE L’INOCULABILITE DE LA TUBERCULOSE/A VECU DANS CETTE MAISON/OU IL EST MORT LE 3 OCTOBRE 1892/OFFERT PAR L'ASSOCIATION AMICALE DU VAL DE GRÂCE,pierre,,Jean-Antoine Villemin,19,,,les médecins et scientifiques,,YY,Jean-Antoine Villemin,France,,Feature,"[2.3223289993170173, 48.857590999204525]",Point,2.3223289993170173,48.857590999204525
48.848574,2.32884,6042,6,20 RUE DE ASSAS,PREMIER ETAGE,SUR L'EMPLACEMENT / DE CETTE MAISON ET DES IMMEUBLES VOISINS / S'ETENDAIT LA PROPRIETE / OCCUPEE EN PARTIE PAR L'ATELIER DU SCULPTEUR / DAVID D'ANGERS / ET PAR L'HOTEL OU IL MOURUT / LE 5 JANVIER 1856,pierre,35x60,Pierre-Jean David d'Angers,18-19,,,les artistes (beaux-arts),,YY,Pierre-Jean David d'Angers,France,,Feature,"[2.3288400001830856, 48.848573998745294]",Point,2.3288400001830856,48.848573998745294
48.86832,2.34308,2903,2,111-113 RUE RÉAUMUR,façade RDC,"LE 21 AOÛT 1944 / LE PERSONNEL DES MESSAGERIES DE PRESSE, EN ACCORD AVEC / LA FÉDÉRATION NATIONALE DE LA PRESSE CLANDESTINE, / DANS UN ÉLAN PATRIOTIQUE, A CHASSÉ D’ICI / L’OCCUPANT NAZI ET LES COLLABORATEURS, / A NOMMÉ SA DIRECTION ET ORGANISÉ / EN PLEINE INSURRECTION / LA DIFFUSION DES JOURNAUX LIBRES / HONNEUR AUX OUVRIERS RÉSISTANTS / DES MESSAGERIES MORTS POUR LA FRANCE.",comblanchien,40x80,Messageries de presse,20,Seconde Guerre mondiale,Libération de Paris,évènements et faits historiques,les Résistants,,,France,,Feature,"[2.3430799996161453, 48.86831999871758]",Point,2.3430799996161453,48.86831999871758
