ndeg_de_notice,isbn,issn,ean,langue,titre,edition,editeur,date,format,collection,titre_de_serie,ndeg,auteur_nom,auteur_prenom,auteur_dates,libelle_v_smart_et_webopac,nombre_de_localisations,nombre_de_pret_total,nombre_de_prets_2017,nombre_d_exemplaires,categorie_statistique_1,categorie_statistique_2,aime_cesaire,amelie,andre_malraux,andree_chedid,arthur_rimbaud,assia_djebar,batignolles,benjamin_rabier,buffon,canopee_la_fontaine,chaptal,charlotte_delbo,claude_levi_strauss,colette_vivier,courcelles,couronnes_naguib_mahfouz,crimee,diderot,drouot,edmond_rostand,europe,faidherbe,fessart,francois_villon,francoise_sagan,georges_brassens,germaine_tillion,glaciere,goutte_d_or,gutenberg,helene_berr,herge,heure_joyeuse,italie,jacqueline_de_romilly,jean_pierre_melville,lancry,louise_michel,marguerite_audoux,marguerite_duras,marguerite_yourcenar,maurice_genevoix,mmp,mohammed_arkoun,mortier,musset,oscar_wilde,parmentier,place_des_fetes,rainer_maria_rilke,reserve_centrale,robert_sabatier,saint_eloi,saint_simon,sorbier,vaclav_havel,valeyre,vandamme,vaugirard,auteur,co_auteur,auteur_secondaire,collectivite_auteur,collectivite_auteur_secondaire_,collectivite_co_auteur_
154118,2-209-05826-0,,,français,La mort du roi et la chute de la Gironde | Texte imprimé | Jean Jaurès,,['Messidor'],1986,744 p. | Couv. ill. | 22 cm,Bibliothèque du bicentenaire de la Révolution française | 7,Histoire socialiste de la Révolution française,5,Jaurès,Jean,,Livre pour adulte,1,4.0,0,1,['D904 Histoire occidentale (Europe et Amerique du Nord)'],['pas de code stat 2'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,"['Jaurès, Jean']",,"Labrousse;Soboul, Ernest;Albert",,,
154130,,,,,Spanish blue | Enregistrement sonore,,['Epic'],1998,1 compact,,,,,,,Disque compact,1,157.0,3,1,['M108 Jazz fusion'],['pas de code stat 2'],,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carter;Cobham;Berliner;MacDonald;Laws, Ron;Billy;Jay;Ralph;Hubert",,,
154405,2-7556-0033-0,,,français,Le diconoclaste | Texte imprimé | [textes réunis par] Jean-Loup Chiflet,,['Chiflet & Cie'],impr. 2005,1 vol. (267 p.) | 20 cm,,,,,,,Livre pour adulte,7,157.0,4,7,"['D801 Etudes litteraires, revues litteraires']",['pas de code stat 2'],,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,"Chiflet, Jean-Loup",,,
154763,2-08-160410-8,,,français,Écho le géant | Texte imprimé | texte de Anne-Marie Chapouton | ill. de Raphaèle Galéa,,['Père Castor-Flammarion'],1997,"28 p. | ill. en coul., couv. ill. en coul. | 27 cm",,,,Chapouton,Anne-Marie,1939-2000,Livre jeunesse,3,34.0,1,3,['7'],['pas de code stat 2'],,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,"['Chapouton, Anne-Marie']",,"Galéa, Raphaèle",,,
154852,2-8036-1775-7;978-2803-61-7753,,,français,"Le barbare | Texte imprimé | [dessins de] Rosinski | [scénario de] Van Hamme | couleurs, Graza",,['Le Lombard'],2002,1 vol. (48 p.) | tout en ill. | 30 cm,,Thorgal,27,Van Hamme,Jean,,Bande dessinée pour adulte,33,2535.0,167,36,['LBDE Bandes dessinees'],['pas de code stat 2'],,1.0,,1.0,,,1.0,,1.0,1.0,1.0,,,1,,1.0,1.0,,,1.0,,2.0,,,,,1.0,1.0,,1.0,2.0,1.0,,1.0,,,1.0,,1.0,2.0,1.0,,,1.0,1,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,"['Van Hamme, Jean']",,Rosinski,,,
155276,,,3298490920244,,"Les trésors engloutis d'Égypte | Images animées | Roland Savoye, Éric Chebassier, réal. | Nicolas Taïeb, Maryse Lefebvre, voix | Franck Goddio... [et al.], participants",,"['Naïve [éd., distrib.]']",[DL 2006],"1 DVD vidéo monoface simple couche toutes zones (1 h 02 min) | 16/9, coul.  (PAL), son., surround (Dolby)",,,,,,,DVD-vidéo tous publics,2,39.0,4,2,['D701 Arts generalites'],['pas de code stat 2'],,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Savoye;Chebassier;Taïeb;Lefebvre;Goddio, Roland;Eric;Nicolas;Maryse;Franck",,,
155816,,,,,"Enrique | Enregistrement sonore | Enrique Iglesias, chant",,['Universal Music'],1999,1 compact | DDD | 1 brochure,,,,,,,Disque compact,2,11.0,2,2,['M912 Musiques du monde: Amerique du Nord'],['pas de code stat 2'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,"Iglesias, Enrique",,,
156390,,,,,Penguin Cafe Orchestra | Enregistrement sonore,,['E.G.Records'],1991,1 compact | AAD | 1 feuillet,,,,Jeffes,Simon,,Disque compact,1,150.0,0,1,['M701 Musiques inclassables'],['pas de code stat 2'],,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Jeffes, Simon']",,,,['Penguin Cafe Orchestra'],
156462,,,,anglais,You better run | Enregistrement sonore | the essential | J. Kimbrough,,['Fat Possum'],2002,1 compact | 1 dépliant,,,,Kimbrough,Junior,1930-1998,Disque compact,3,150.0,6,3,['M101 Blues'],['pas de code stat 2'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,"['Kimbrough, Junior']",,"Kimbrough, Junior",,,
156520,2-226-11852-7,,,français,Surprise à la noce | Texte imprimé | Jacques Duquennoy,,['A. Michel jeunesse'],2002,"27 p. | ill. en coul., couv. ill. en coul. | 20 cm",Lesfantômes;La fourmi qui lit | 5-6 ans,Les fantômes,,Duquennoy,Jacques,1953-....,Livre jeunesse,23,1405.0,73,24,['LFRA Litterature francaise'],['pas de code stat 2'],,,1.0,1.0,,,,1,1.0,,1.0,,,1,,,,1,,,,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,,1.0,1.0,,2.0,,,,,,1.0,,"['Duquennoy, Jacques']",,,,,
